latin_name,ra,dec,rot
Big Dipper,12.333874006514892,55.57991417142857,0
Little Dipper,16.39152891482454,79.63245207428572,0
Draco,16.781033723058904,63.07275887666666,0
Cassiopeia,1.1950524419020876,62.12175644333333,0
Cepheus,21.89979653968897,63.21570873818182,0
Camelopardalis,4.913136263153019,65.45409756375,0
Ursa Major,10.94004438728088,50.529951822631574,0
Leo,10.484485415662721,17.336484258749998,0
Canes Venatici,12.748090244999998,39.837929195,0
Leo Minor,10.296263510349121,35.272094937999995,0
Bootes,14.49834821717142,31.391918043999997,0
Coma Berenices,12.697174707645532,25.613806713333336,0
Corona Borealis,15.681561448684569,27.736937493333333,0
Cygnus,20.36710945941038,40.20902408533334,0
Lyra,18.858280974729688,37.624202222,0
Vulpecula,19.748385785,26.20923908,0
Hercules,17.41453830313137,29.86828646913043,0
Lacerta,22.427354032218993,45.677193951111114,0
Triangulum,2.110800133822443,32.80443731,0
Andromeda,0.6376956151047526,37.807752764444444,0
Great Square,23.625639894615688,21.890618215,0
Pegasus,22.55844355291689,18.552337872941177,0
Perseus,3.439000920871007,45.55755992869565,0
Aries,2.4636497395565775,23.365312428000003,0
Taurus,4.311079207487682,15.221437617000001,0
Auriga,5.423367898090064,42.717928513749996,0
Lynx,8.117161037818535,46.11591947,0
Gemini,7.036785907161997,24.278483884444444,0
Canis Minor,7.5538307300000005,6.758411335,0
Cancer,8.616448883387841,17.845614854999997,0
Monoceros,7.057650563341147,-0.6009579159999999,0
Orion,5.498491658023764,6.482851478695652,0
Lepus,5.571912188316447,-17.320789765454546,0
Canis Major,6.880750373608315,-23.252173091250004,0
Eridanus,3.630400449750449,-25.38405445785714,0
Hydra,10.344997805312959,-10.871010718823527,0
Crater,11.453561605303506,-16.218782855,0
Antlia,10.452528090000001,-31.06777987,0
Virgo,13.256263762517113,-0.43490613733333355,0
Libra,15.342265695541839,-20.56817065666667,0
Corvus,12.360066603215763,-20.45923775142857,0
Serpens,16.748995457166096,1.9988027540000002,0
Ophiuchus,17.091110516662624,-9.727198379999999,0
Scorpius,16.865283063458953,-32.777898523000005,0
Sagitta,19.78036094778991,18.379092455,0
Delphinus,20.648423015512822,13.423954506666668,0
Aquila,19.528303511313105,4.9886763454545475,0
Scutum,18.641055697506857,-9.152575135,0
Sagittarius,18.956376125691726,-29.270477986111114,0
Corona Australis,19.060554586641892,-39.25772879375,0
Equuleus,21.225809889513158,8.462140673333332,0
Aquarius,22.53557760794901,-11.365820939999999,0
Capricornus,21.061894671561973,-19.482028448461538,0
Piscis Austrinus,22.457486955636035,-31.41740810375,0
Grus,22.605586773045026,-45.23189694555556,0
Phoenix,0.9831005675539568,-46.49735156333333,0
Pisces,0.7236006313203964,10.190890334210527,0
Cetus,2.08173324869676,-3.8604719846153848,0
Sculptor,0.97676681,-29.35744807,0
Vela,9.613642564555725,-48.365643892222224,0
Pyxis,8.57453555284557,-34.051943025,0
Carina,9.692301375216955,-59.57725128266667,0
Puppis,7.575790486258775,-33.7434135125,0
Volans,8.007669547043912,-69.10387224857143,0
Dorado,5.189823623747576,-59.219893703333334,0
Columba,5.945627967025157,-35.99832393428572,0
Hydrus,2.191467814461968,-69.60612430833335,0
Pictor,6.139742279406216,-56.39150020666667,0
Reticulum,4.057774433874377,-61.9957725325,0
Horologium,4.23336489,-42.2943709,0
Fornax,3.2012490000000002,-28.987618,0
Lupus,15.244063332809539,-43.13688195333333,0
Centaurus,13.682768300392949,-44.1081269872414,0
Crux,12.502606003582281,-59.6623214575,0
Norma,16.23636577972566,-48.02830244,0
Circinus,15.13020029184796,-61.03237750333333,0
Triangulum Australe,15.912957244744518,-66.863756235,0
Ara,17.325995979993756,-54.80723938833333,0
Fly,12.50430871213168,-69.26917828833332,0
Apus,16.108528539239657,-78.5387694875,0
Chamaeleon,10.814779813864753,-78.706237392,0
Pavo,19.414172872506054,-65.28476222363636,0
Octans,20.211635489041107,-80.81318329,0
Tucana,23.695796567876958,-62.381096772,0
Indus,21.258015588597395,-53.889035548,0
Telescopium,18.46503816,-47.5195257,0
Microscopium,20.83280172,-33.7797206,0
Caelum,4.676031320000001,-41.86375152,0
Mensa,6.17068728,-74.7530456,0
Sextans,10.13230187,-0.37165259,0
